Company Name,Company Revenue in millions, Empoyee Head Count,Company Industry,Company Specialities,Company Type,Company Location Country Name,Company Location City,Company Location Timezone
Safeguard Business Systems,200,500,Advertising Services,"Branding, Promotional Products, Printing Services, Print Marketing, Logoed Apparel, Business Documents, Business Checks & Forms, Office Supplies",Public Company,United States,Carrollton,EST
Seed Consulting Group,10,50,Non-profit Organizations,"Pro Bono, Environmental, Non-Profit, Quantitative Analysis, Management Consulting, Data Analytics, New Program Development, Marketing & Advertising Strategy, Volunteer Engagement, Organizational Development, Fundraising, Environmental Impact",Nonprofit,United States,Los Angeles,EST
Bredero Shaw,1000,4000,Oil and Gas,"Pipe coatings, Custom coatings, Field joint coatings, Anti-corrosion coatings, Concrete coatings, Flow assurance coatings, Inrternal coatings, Thermal insulation coatings, Pipeline coatings",Public Company,United States,Houston,EST
Chemtool Incorporated,400,1000,Chemical Manufacturing,"Global, Reliable Manufacturing, Technical Innovator, Sustainability",Public Company,United States,Rockton,EST
"Canon Virginia, Inc",1000,7000,Machinery Manufacturing,"Contract Manufacturing, Custom Mold Making, Integrated Technical Service Solutions, Laser Printer Cartridges, Camera & Printer Repair",Public Company,United States,Newport News,EST
Sofidel America Corp.,3000,4000,Paper and Forest Product Manufacturing,,Privately Held,United States,Horsham,EST
Capsugel,500,2000,Pharmaceutical Manufacturing,Hard & Soft Capsule Manufacturing,Public Company,United States,Morristown,EST
Minneapolis Community Education,746,1000,Individual and Family Services,"Adult Education, Adult Enrichment, Youth Enrichment, Community Engagement, Youth Education",Educational Institution,United States,Minneapolis,EST
TTX Company,1000,1200,Truck Transportation,"Provider of railcars and related freight car management services, Automobile Frame Transportation, Railcar Repair and Maintenance, Carbody Modification Programs, Railcar Fleet Management",Privately Held,United States,Charlotte,EST
UMN Recreation and Wellness,4000,300,Recreational Facilities,,Educational Institution,United States,Minneapolis,EST
American University School of Education,492,500,Higher Education,"antiracism, teacher education",Educational Institution,United States,Washington,EST
George Washington High School,33.3,200,Primary and Secondary Education,,Educational Institution,United States,San Francisco,EST
Travelodge,1000,5000,Hospitality,,Public Company,United States,Parsippany,EST
Rizing Enterprise Asset Management,200,500,IT Services and IT Consulting,"Enterprise Asset Management, Plant Maintenance, Asset Management, ISO55000, Supply Chain and Procurement, Real Estate Management Services, IoT, Predictive maintenance, Strategic asset management planning, Environment, Health + Safety Services (EHS), Risk Management, Business Process Consulting, User Experience, Mobility Services and solutions, Full Asset Lifecycle Services, Asset Intelligence Network, Compatible Units, GEO.e, Geographic Enablement Framework GEF, Geospatial solutions, Asset strategy and performance management, SAP EAM Services, Ariba Services, Project Systems, Master Data Governance, Predictive maintenance and service PdMS, RE-FX, Material Management",Public Company,United States,Stamford,EST
Amreli Steels Limited,1000,2000,Wholesale Building Materials,"Steel Rebars, Steel Billets",Public Company,Pakistan,Karachi,PKT
"Coeur Mining, Inc.",500,1200,Mining,"Silver and Gold Mining, Precious Metals Mining",Public Company,United States,Chicago,EST
Alaincoop,300,1000,Retail,,Privately Held,United Arab Emirates,Al Ain,GST
STADA Emerging Markets,1500,5000,Pharmaceutical Manufacturing,,Public Company,United Arab Emirates,Dubai Healthcare City,GST
Mohawk Valley Health System,400,1000,Hospitals and Health Care,"Hospital, Primary Care, Cardiac Care, Orthopedic Surgery, Maternal Child Services, Cancer Care, Dialysis Center, Rehabilitation, Home and Continuing Care, Vascular Surgery, Advanced Endoscopy",Nonprofit,United States,Utica,EST
"Abcor Home Health, Inc.",100,500,Hospitals and Health Care,"Home Health Care, Home Care, HomeMaker (HMK)",Nonprofit,United States,Arlington Heights,EST
Civeo North America,500,2000,Hospitality,"Remote Workforce Accomodations, Construction, Engineering, Hospitality, Remote Site Catering, Work Site Rentals, Custom Built Facilities, Fleet Rentals, Facility Management, Modular Construction, Modular Building",Public Company,United States,Houston,EST
Sunbulah Group,700,2000,Manufacturing,,Privately Held,Saudi Arabia,Jeddah,AST
InfraRoad Trading & Contracting LLC,150,400,Construction,"ROADS, HIGHWAYS, BRIDGES, TUNNELS, WET & DRY UTILITIES, WATER & ENVIRONEMNT, ENERGY & INDUSTRY",Privately Held,Qatar,Lusail,AST
Toms King,300,1000,Restaurants,,Privately Held,Barrington,Palatine,CST
Ambu (King Systems),200,1500,Medical Equipment Manufacturing,"Anesthesia, Respiratory, Critical Care, Airway Managent",Public Company,United States,Noblesville,EST
Natural Touch,50,100,Personal Care Product Manufacturing,,Privately Held,Saudi Arabia,Riyadh,AST
