Company Name,Company Revenue in millions, Empoyee Head Count,Company Industry,Company Specialities,Company Type,Company Location Country Name,Company Location City,Company Location Timezone
Dragon Oil,1200,1800,Oil and Gas,"oil and gas exploration, development and production, Energy, Petroleum, People, HSE, sustanability",Public Company,United Arab Emirates,Dubai,GST
Compass Group USA,19000,240000,Food & Beverages,"foodservice management, food, support services, business & industry, hospitality, sports & entertainment, healthcare, education, catering",Public Company,United States,Charlotte,EST
Plantronics,850,3200,Telecommunications,"Headsets for the Home and Office, Unified Communications Solutions, Bluetooth Devices, Enterprise Solutions, Gaming Headsets, Digital Enhanced Cordless Telecommunications (DECT), PC Audio Devices, Contact Center Solutions, Small Business Communications",Public Company,United States,Santa Cruz,EST
Cigniti Technologies,300,2200,Information Technology & Services,"Software Testing, Quality Assurance, Quality Engineering, Advisory & Transformation, Security Testing, DevOps QA, Test Automation, Digital Transformation services, ERP Testing, Application Testing, RPA, Digital Assurance, Digital Engineering, 5G Assurance, Cloud Migration Assurance, Performance Engineering, Static Application Security Testing, Blockchain, Analytics, Machine learning",Public Company,United States,Irving,EST
PharMerica,1500,6200,Pharmaceutical Manufacturing,"Behavioral Health Pharmacy Services, Senior Living Pharmacy Services, I/DD Pharmacy Services, Long-Term Care Pharmacy Services, Hospice Pharmacy Services, Skilled Nursing Pharmacy Services",Privately Held,United States,Louisville,EST
Carilion Clinic,5200,13000,Hospitals and Health Care,"patient-centered care, medical education, research, wellness, cancer care, dermatology, endocrinology, gastroenterology, pediatrics, cardiac and vascular care, children's hospital, women's services, home care and hospice, rehabilitation, neurology, pulmonary, orthopedics",Nonprofit,United States,Roanoke,EST
Le Bonheur Children's Hospital,900,3100,Hospitals and Health Care,"Pediatrics, Cardiology, Neonatology, Critical Care Medicine, Nephrology, Neurology, Orthopedics, Urology, Pulmonology, Gastroenterology",Nonprofit,United States,Memphis,EST
American Tire Distributors,5000,14000,Automotive,"Tires, Wheels, Supplies",Privately Held,United States,Huntersville,EST
Keystone Foods,3000,11000,Food and Beverage Manufacturing,"Proteins Processing, Leadership in Food Safety and Quality, KEYSTAR CSR Program, Global Reach, Product Innovation",Public Company,United States,West Chester,EST
Address Hotels + Resorts,1200,1500,Hospitality,,Public Company,United Arab Emirates,Dubai,GST
Ingredion Incorporated,6000,11000,Food and Beverage Services,"Food and Beverage Sweeteners, Personal Care, Food and Beverage Starches, Green Solutions, Health & Nutrition, Pharmaceutical, Industrial, Animal Nutrition and Co-Products, Ingredient Solutions, Corregating",Public Company,United States,Westchester,EST
Langan Engineering & Environmental Services,700,1200,Civil Engineering,"Geotechnical, Site/Civil and Environmental Engineering, Transportation/Traffic Engineering, Surveying, 3D Laser Scanning, and BIM, Cultural Resources, Natural Resources Assessments/Permitting, Landscape Architecture + Planning, GIS/Data Management Services",Privately Held,United States,Parsippany,EST
Starkey Hearing,800,3200,Medical Equipment Manufacturing,"audiology, hearing aids, hearing systems, hearing healthcare, education, training, manufacturing, engineering",Privately Held,United States,Eden Prairie,EST
Continuum Global Solutions,400,6500,Outsourcing and Offshoring Consulting,"telecom, call center, contact center, voice, ivr",Privately Held,United States,Dallas,EST
Rent-A-Center,3200,14000,Retail,"furniture, appliances, electronics, computers, RACares, community involvement, retail, rent-to-own, franchising, promote from within, Service and repairs, Customer Service",Public Company,United States,Plano,EST
Consumers Energy,6100,8500,Utilities,"Electric, Natural Gas, Energy/Utilities, Safety, Reliability",Public Company,United States,Jackson,EST
E. & J. Gallo Winery,5000,6400,Beverage Manufacturing,,Privately Held,United States,Modesto,EST
New Horizons Computer Learning Centers,300,1800,IT Services and IT Consulting,"Project Management, Onsite Training, On Demand Learning, HR Management Training, IT Training, Technical Training, Microsoft, Cisco, Cybersecurity, CompTIA, Adobe, Certification, VMware, Remote Learning, Virtual Learning, Classroom Learning, VILT, IT Service Management, Cloud Computing, AXELOS, Leadership Development, Networking, Applications, SharePoint, Windows Server, ITIL, AWS, Red Hat, Business Analysis, Career Development, Enterprise Learning Solutions",Privately Held,United States,New Braunfels,EST
HORNBECK OFFSHORE®,500,1400,"Transportation, Logistics, Supply Chain and Storage","Deepwater and Ultra-Deepwater Oil & Gas Exploration and Production, Subsea Construction, Installation & IRM Activities, Offshore Supply Vessels & Multi-Purpose Support Vessels, ROVs, Large Capacity Cranes, Winches & Reel Systems, Petroleum Transportation",Privately Held,United States,Covington,EST
Jarir Bookstore,2200,3000,Retail,,Public Company,Saudi Arabia,Riyadh,AST
Keyloop,700,1500,Software Development,,Privately Held,United Kingdom,Reading,GMT
Fitch Ratings,1400,3500,Financial Services,credit ratings,Privately Held,United States,New York,EST
Almosafer,300,1200,Travel Arrangements,"Hotel Bookings, Airline Ticketing, Holiday Packages, Corporate Services",Privately Held,Saudi Arabia,Riyadh,AST
Impetus,500,2300,Information Technology & Services,"Big Data, Data Warehouse Modernization, Data Analytics, Big Data Analytics, Data Science, Big Data Consulting, Big Data Implementation, workload transformation, real time analytics",Privately Held,United States,Los Gatos,EST
Modine Manufacturing Company,2200,5300,Manufacturing,,Public Company,United States,Racine,EST
Builders FirstSource/Probuild,9000,15000,Wholesale Building Materials,,Public Company,United States,Dallas,EST
"Haas Automation, Inc.",1300,1800,Machinery Manufacturing,"CNC Vertical Machining Centers, CNC Horizontal Machining Centers, CNC Lathes/Turning Centers, CNC Rotary Tables and Indexers, 5-Axis CNC Machining Centers, CNC Mold Making Machining Centers, CNC Toolroom Machines, CNC Gantry Routers, Haas CNC Control",Privately Held,United States,Oxnard,EST
GMG,600,1400,Retail,"Sports, EverydayGoods, Health, Beauty, Logistics, Education, Properties, Wellbeing",Privately Held,United Arab Emirates,Dubai,GST
Tennant Company,1000,4300,Machinery Manufacturing,"Sustainability, Cleaning Solutions, Floor Cleaning Equipment",Public Company,United States,Eden Prairie,EST
Price Chopper Supermarkets-Market 32,3500,15000,Retail Groceries,"Retail Grocery, Best in Fresh",Privately Held,United States,Schenectady,EST
Fusion CX,500,3000,Outsourcing and Offshoring Consulting,"BPM Solutions, CX Management, Artificial Intelligence, Cognitive Automation, Digital Transformation, Social Analytics, Quality Assurance, Business Process Management, Data Annotation Services, Call Center, Business Process Outsourcing, Debt Collection Services, Tech Support, App Support Call Center, ECommerce Support, Industry specific BPO Services, BPO Services",Privately Held,United States,Canton,EST
Al Ghurair Group,7000,28000,Financial Services,"Manufacturing, Packaging, Real Estate, Metals, Plastics, Shopping Malls, Investments",Privately Held,United Arab Emirates,Dubai,GST
Stepan Company,2000,2200,Chemicals,"Surfactants, Polymers, Specialty Products, Chemicals, lipid nutrition, Nonionic Surfactants",Public Company,United States,Northbrook,EST
K-Electric,3300,10500,Oil & Energy,"Electricity Generation, Transmission and Distribution",Public Company,Pakistan,Karachi,PKT
TVH Parts Co.,1200,5700,Wholesale,"Forklifts and Construction Vehicles, Aerial Work Platforms, Sweeper & Scrubber, Personnel Burden Carrier, Material Handling, Industrial Equipment, Light Construction",Privately Held,United States,Olathe,EST
Franciscan Health,3200,18000,Hospitals and Health Care,"hospital, physician offices, cardiology, vascular care, cancer treatment, orthopedics, labor and delivery, neurosurgery, healthcare, primary care, neurology, imaging, lab",Nonprofit,United States,Mishawaka,EST
Apache Corporation,3200,3400,Oil and Gas,"natural gas, crude oil, natural gas liquids",Public Company,United States,Houston,EST
Nebraska Public Power District,1200,2500,Utilities,"Public Power District, Electricity, Electric Utility, Publicly Owned, Electrical System, Economic Development, Environmental, Energy Education, Energy Facilities",Public Company,United States,Columbus,CST
Popular,900,8000,Banking,"Banking, Auto Financing, Mortgage, Insurance, Investment",Public Company,United States,San Juan,EST
Accion Labs,300,1800,IT Services and IT Consulting,"Cloud, Mobile development, UI/UX design, social media and social commerce, Web 2.0 enablement, Business Intelligence, SaaS, Analytics, Data Warehousing",Privately Held,United States,Bridgeville,EST
TSI Incorporated,500,1400,Industrial Machinery Manufacturing,"scientific instruments, aerosol and particle technology, healthcare, measurement, respirator fit testing, occupational health and safety, industrial hygiene, manufacturing, indoor air quality, particle counters, fluid mechanics, HVAC testing, ventilation, filter testing, engine emissions, air quality",Privately Held,United States,Shoreview,EST
Emirates Global Aluminium (EGA​),4000,7000,Manufacturing,Primary aluminium production and investments in bauxite mining and alumina refining projects,Privately Held,United Arab Emirates,Dubai,GST
Playa Hotels & Resorts,800,2200,Hospitality,,Public Company,United States,Fairfax,EST
EMKE Group,2500,32000,Retail,,Privately Held,United Arab Emirates,Abu Dhabi,GST
Grupo LAFISE,600,1900,Financial Services,"Banca, Seguros, Puestos de Bolsa, Banca de Inversión, Logística y Almacenaje, Servicios Fiduciarios",Privately Held,United States,Miami,EST
LG Electronics North America,13000,5000,Computers and Electronics Manufacturing,"Consumer Electronics, Home Appliances, Air Conditioning, Home Entertainment, Mobile Communications, Solar, Display Technology, and B2B Products",Public Company,United States,Englewood Cliffs,EST
Baker Construction,1100,3200,Construction,"Concrete Construction Contractor, Nuclear, Energy, Petro-Chemical, Heavy Industrial, Commercial Construction, Retail Construction, Stadium Construction, Civil Construction, Industrial Construction, Structural Construction, Distribution Construction, Restoration, Multi-Use Structures",Privately Held,United States,Monroe,EST
BlueTriton Brands,1200,2700,Food & Beverages,"Healthy Hydration, Water, Beverages, Refreshments, Consumer goods",Privately Held,United States,Stamford,EST
Aramark Uniform Services,3100,18000,Facilities Services,"Apparel, Uniforms, Floor Mats, Towels & Linen Services, Cleanroom Garments, Scrubs, Microfiber Mop Systems",Public Company,United States,Burbank,EST
"Chart Industries, Inc.",1400,4600,Industrial Machinery Manufacturing,"Cryogenic Storage Systems, Engineering / Manufacturing, Liquefied Natural Gas Storage, Heat Exchangers, Industrial Gas Storage, Hydrogen Energy, Water & Wastewater Treatment, Laser Cutting, Aerospace Systems, Beverage Carbonation, Nitro Beverage Dosing",Public Company,United States,Ball Ground,EST
Indorama Ventures: Indovinya,2300,5800,Chemical Manufacturing,,Public Company,United States,The Woodlands,EST
Textron,14000,35000,Aviation and Aerospace Component Manufacturing,"Conglomerate, Aviation & Aerospace, Industrial, Defense",Public Company,United States,Providence,EST
Leonardo DRS,2200,7100,Defense and Space Manufacturing,"Information Technology, Defense, Intelligence, Aviation, Security, Surveillance, Power, Cyber Security, Infrared, Engineering, Innovation, STEM, Naval Systems, Maritime Systems, Satellite Communications, Network Infrastructure",Public Company,United States,Arlington,EST
Simpson Strong-Tie,900,3200,Building Materials,"Engineered Structural Connectors, Fasteners and Fastening Systems, Mechanical and Adhesive Anchors, Lateral-Force Resistance Systems, Repair, Protection and Strengthening Products",Public Company,United States,Pleasanton,EST
The Lubrizol Corporation,6500,8700,Chemical Manufacturing,"Driveline Additives, Engine Additives, Fuel Additives, Industrial Additives, Viscosity Modifiers, Engineered Polymers, LifeScience Polymers, Performance Coatings, Personal and Home Care, Science",Privately Held,United States,Wickliffe,EST
American Water,3700,7000,Utilities,"Water, Wastewater",Public Company,United States,Camden,EST
United Bank,500,2000,Financial Services,"Personal Banking, Business Banking, Wealth Management, Mortgage, Brokerage, Financial Advisors, Commercial Banking, Mobile Banking, Online Banking, Treasury Management, Financial Literacy",Public Company,United States,Vienna,EST
Kennametal,2200,9000,Machinery Manufacturing,"metalworking, aerospace tooling, Machining, Drilling, Mining, Construction, Ceramics, automotive tooling, carbide",Public Company,United States,Pittsburgh,EST
"Vishay Intertechnology, Inc.",3100,23000,"Appliances, Electrical, and Electronics Manufacturing",,Public Company,United States,Malvern,EST
cxLoyalty,700,3100,Travel Arrangements,"Full Service Loyalty Provider, Loyalty Fulfillment, Rewards & Incentives Programs, Loyalty Programs, Travel Technology & Fulfillment, Membership Travel, Contact Center, Travel Agency, Loyalty Marketing",Public Company,United States,Stamford,EST
KARL STORZ United States,1100,2800,Medical Equipment Manufacturing,"Design, Engineering, Manufacturing, Sales & Support, Medical Devices",Privately Held,United States,El Segundo,EST
Evoqua Water Technologies,1200,4000,Environmental Services,,Public Company,United States,Pittsburgh,EST
Phibro Animal Health,800,1400,Pharmaceutical Manufacturing,"Antimicrobials, Microbials, Animal Health, Ethanol Performance Products, Mineral Nutrition, Plant Health, Probiotics, Animal Nutrition, Feed Additives, Vaccine Adjuvants, Vaccines, Poultry, Swine, Aqua, Beef Cattle, Companion Animals, Dairy Cattle, Specialty Chemicals, Feed Premixes, Autogenous Vaccines",Public Company,United States,Teaneck,EST
Tronox,2300,3600,Chemical Manufacturing,"Pigment, Titanium Dioxide, Mineral Sands, Mining, zircon, pig iron, titanium ore",Public Company,United States,Stamford,EST
Harte Hanks,600,2400,Advertising Services,"Direct Marketing, Agency, Data Services, Database Marketing, Digital Marketing, Direct Mail, Fulfillment, Pharmaceutical Marketing, Retail Marketing, Social Media, Ecommerce, Customer Care, Demand Generation, CRM, Customer Experience (CX), B2B Marketing, Healthcare Marketing, Content & Creative Services, Strategy and Analytics, Logistics",Public Company,United States,Chelmsford,EST
National Vision Inc.,2000,12000,Retail,"Primary Eye-care, Eye Exams, Eyeglasses, Contact Lenses, Sunglasses, Optometry, Optical",Public Company,United States,Duluth,EST
Astound Digital,300,1800,IT Services and IT Consulting,"Global ecommerce Solutions, ecommerce Pioneers, Digital Strategy, Demandware Premier Partner, Online Sales, Client Online Experience Perfection, Engeneering Talant, Top ecommerce Platforms, ecommerce Delivery, Rapid Launch, ecommerce Operations Support, ux design, UI Optimization, Digital Marketing, Salesforce Commerce Cloud, Magento, Demandware, ecommerce, digital commerce",Privately Held,United States,New York,EST
Techwave,200,2200,IT Services and IT Consulting,"Business Analytics, Enterprise Performance Management (EPM), Enterprise Resource Planning (ERP), Managed Services (AMS - Onshore, Near Shore, Offshore), Quality Assurance & Testing, Big Data, Business Process Management (BPM), Internet of Things, Cloud, ISO20022 Payments Data Management, Application Modernization, API Ecosystem Management, Wireline Engineering, Wireless Engineering",Privately Held,United States,Houston,EST
"Zakat, Tax and Customs Authority",600,1200,Government Administration,"Zakat, Tax, VAT, customs",Government Agency,Saudi Arabia,Riyadh,AST
Saudi Ceramics,800,3000,Building Materials,"Ceramic Tiles, Porcelain Tiles, Sanitary Wares, Water Heaters, Bathtubs, Bathroom Accessories, Red Bricks, Ceramic Road Makers",Public Company,Saudi Arabia,Riyadh,AST
Rexel USA,5000,15000,"Appliances, Electrical, and Electronics Manufacturing","Electrical Distribution, Energy Audits, Alternative Energy Solutions and Services, Lighting Retrofits, electrical supplies",Public Company,United States,Dallas,EST
Kraton Corporation,1900,2000,Chemical Manufacturing,,Privately Held,United States,The Woodlands,EST
MSX International,1400,6000,Business Consulting and Services,"automotive industry, sales distribution, warranry management, customer engagement, technical publications, learning, technical information, data and insights, aftersales, repair optimisation, retail business tranformation, Consumer Experience, sales performance, EVs , new agency models",Privately Held,United States,Detroit,EST
Mintz,500,1200,Law Practice,"Antitrust & Federal, Bankruptcy, Communications, Consumer Products, Corporate & Securities, Energy & Clean Tech, Environmental, Government, Health, Immigration, IP, International, Litigation, Private Client, Public Finance, Real Estate, Tax, Employment",Privately Held,United States,Boston,EST
Contech Engineered Solutions,900,2200,Construction,"Bridges and Structures, Rehabilitation and Reline, Stormwater Management, Pipe, Erosion control, Retaining Walls",Privately Held,United States,West Chester,EST
Qiddiya | القدية,400,1500,Entertainment,"Entertainment, Racing, Hospitality, Retail, Theme Park, Nature , Motorsports, Hotel, Culture, Sports, Wellness, Food and Beverage, Education, Job Training",Privately Held,Saudi Arabia,"Al Nakheel, Riyadh",AST
"BWX Technologies, Inc.",1800,5200,Defense and Space Manufacturing,"Nuclear Energy, Aerospace and Defense, Manufacturing, Engineering",Public Company,United States,Lynchburg,EST
The Hershey Company,8500,16000,Manufacturing,Consumer Packaged Goods,Public Company,United States,Hershey,EST
Saudi Central Bank – SAMA,5000,15000,Financial Services,"Issues national currency, the Saudi Riyal, Acts as a banker to the government, Supervises commercial banks, anages Kingdom’s foreign exchange reserves, Conducts monetary policy for promoting price and exchange rate stability",Government Agency,Saudi Arabia,Riyadh,AST
Spire,900,1800,Utilities,,Public Company,United States,St. Louis,CST
"TETRA Technologies, Inc.",700,1500,Oil and Gas,"Early Production Facilities, Water Management Solutions (Frac), Completion Fluids & Svcs, Well Testing & Flow Back, Calcium Chloride, Brominated products, Rig Cooling, Sand Management, Low Carbon Solutions",Public Company,United States,The Woodlands,EST
JE Dunn Construction,3100,3500,Construction,"construction management, design-build, building information modeling, program management, self-perform concrete and masonry, CM at Risk, General contracting, Mission Critical, Healthcare, Advanced Industries, Virtual Design and Construction",Privately Held,United States,Kansas City,EST
"Allstate Financial Services, LLC",5000,16000,Financial Services,,Public Company,United States,Lincoln,EST
Coca-Cola Southwest Beverages,3300,8000,Food and Beverage Services,,Public Company,United States,Dallas,EST
Drake University,400,1200,Higher Education,Higher education,Educational Institution,United States,Des Moines,EST
AVI-SPL,1200,2200,IT Services and IT Consulting,"AV Systems Integration, Video Communications, Video Conferencing, Telepresence, Design/Build, Control Rooms, Security, Digital Signage, Collaboration Solutions, Video, Unified Communications, Onsite Support, AV/IT, Cloud-based services, Managed Services, Audio, Digital solutions, Workplace technology, experience technolgy, audio visual, voice calling, contact centers",Privately Held,United States,Tampa,EST
Komatsu North America,5300,5700,Machinery Manufacturing,"Contruction, Mining and Forestry Equipment, Material handling",Public Company,United States,Chicago,EST
GE Hitachi Nuclear Energy,2900,2200,Utilities,,Public Company,United States,Wilmington,EST
American National,1200,3000,Insurance,"Personal Lines Insurance, Life Insurance, Annuities, Property & Casualty, auto insurance",Public Company,United States,Galveston,EST
East Carolina University,900,4800,Higher Education,"Arts and Sciences, Business, Education, Fine Arts and Communication, Art and Design, Music, Theater and Dance, Communication, Health and Human Performance, Human Ecology, Computer Science, Nursing, Medicine, Dental Medicine, Athletics",Educational,United States,Greenville,EST
The Johns Hopkins University School of Medicine,4000,25000,Hospitals and Health Care,,Educational,United States,Baltimore,EST
Crop Production Services,3200,10000,Retail,"Crop Protection Products, Adjuvants and surfactants, Fertilizer and Plant Nutritional Products, Dyna-Gro Seed",Public Company,United States,Loveland,EST
MSA - The Safety Company,1400,4200,Public Safety,"Safety Product Manufacturing, Gas and Flame Detection, Head Protection, Fall Protection, Respiratory Protection, Eye/Face/Hearing Protection, Thermal Imaging Cameras, Safety Training, Personal Protective Equipment",Public Company,United States,Cranberry Township,EST
PROS,700,1400,Software Development,"Big Data Software Applications, Sales Effectiveness, Pricing Effectiveness, Revenue Management, CPQ, AI, Digital Transformation",Public Company,France,Houston,CET
CHS Inc.,32000,11000,Food and Beverage Manufacturing,"agriculture, grain, energy, crop nutrients, food and food ingredients, renewable energy, business services, transportation, retail farm supply, hedging, crop protection, refined fuels",Public Company,United States,Minnesota,EST
TAQA (Industrialization & Energy Services Company),1500,3200,Oil and Gas,"Oil and gas exploration and drilling, conducting geophysical surveys and establishing a wide range of industries and services in support of oil and gas, metals, petrochemicals, mining, electricity and water sectors, Cementing , Enabler of Energy, Employer of Choice, well services, technology",Privately Held,Saudi Arabia,Dhahran,AST
Eastman Kodak Company,1100,5000,Manufacturing,"Motion Picture Film, Commercial Printing, Chemical Manufacturing, Industrial Coating",Public Company,United States,Rochester,EST
Wabash,900,6100,Truck Transportation,"Semi Trailers, Refrigerated Trailers, Flatbed Trailers, Dry Van Trailers, Tank Trailers, Aerodynamic Products, Composite Products, Truck Bodies",Public Company,United States,Lafayette,EST
Sheetz,7500,17000,Retail,"Fresh Food Made to Order, Sheetz Bros Coffee, Shweetz, MTO-Go, Sheetz Fam, Sheetz Jobs",Privately Held,United States,Altoona,EST
New York Power Authority,2300,2300,Utilities,"Bulk Electricity Generation and Transmission, Energy Efficiency, New Energy Technologies, Electric Transportation, Sustainability, Economic Development, Utility",Government Agency,United States,White Plains,EST
Applied Industrial Technologies,3200,6200,Wholesale,"Bearings, Power Transmission, Fluid Power, Industrial Distribution, Industrial Supply, Flow Control, Automation",Public Company,United States,Cleveland,EST
Utica National Insurance Group,1200,1200,Insurance,"Personal lines: auto, home, renter’s, motorcycle, boat, snowmobile & identity theft., Commercial lines: graphic arts industries, educational institutions, volunteer fire departments, religious institutions, libraries & others., Errors & Omissions coverages, insurance, risk management",Privately Held,United States,New Hartford,EST
AmeriHealth Caritas,3200,4500,Hospital & Health Care,"Medicaid Managed Care, Behavioral Health Care Services, Medicare Advantage SNP, Pharmacy Benefits Management, Specialty Pharmacy, Long Term Services and Supports",Privately Held,United States,Philadelphia,EST
Syniti,300,800,Software Development,"Data, Data Journey, Data Transformation, S/4HANA, SAP S/4HANA",Privately Held,United States,Needham,EST
Janus Henderson Investors,1200,2300,Financial Services,"Fund Management, Equity Investment, Fixed Income Investment, Property Investment, Private Equity",Public Company,United Kingdom,Denver,GMT
Oak Ridge National Laboratory,3200,4900,Research Services,"computing, biosciences, reactors, science, nuclear energy, neutron science, chemistry, climate, mathematics, fusion, astrophysics, clean energy, high performance computing, 3D printing, additive manufacturing, advanced manufacturing, software, nanoscience, mass spectrometry, climatechange, materials, nuclear science, artificial intelligence",Government Agency,United States,Oak Ridge,EST
TriHealth,2300,11900,Hospitals and Health Care,,Nonprofit,United States,Cincinnati,EST
Archway Marketing Services,1000,2500,Advertising Services,"fulfillment & distribution, logistics, order & item management, BPO, fulfillment, print management, promotional products, branded merchandise, point of execution compliance, print services",Privately Held,United States,Maple Grove,EST
PTCL,2200,18000,Telecommunications,,Public Company,Pakistan,Islamabad,PKT
Synaptics Incorporated,1300,2100,Semiconductor Manufacturing,"Capacitive Sensing, AI & Neural Network, Far-field Voice & Speech Capture, Acoustics & Audio Processing, Optical Imaging, Video & Imaging Processing, Display Driver & Integrated Sensing, Video Interface, Wireless Connectivity",Public Company,California,San Jose,PST
The Lane Construction Corporation,2200,5200,Construction,"Public-Private Partnerships, Design-Build, Heavy Civil Construction, Highways, Bridges, Airports, Specialty Paving, Products",Privately Held,United States,Cheshire,EST
Prohealth-care,900,4000,Hospitals and Health Care,,Non Profit,United States,Waukesha,CST
Abt Global,800,3000,Research Services,"research, consulting, technical assistance, data collection, survey research",Privately Held,United States,Rockville,EST
BORN,600,1800,IT Services and IT Consulting,"ecommerce, digital, creative, cms, technology, web, fashion, retail, consulting, integrations, content, omnichannel, conversions, analytics, b2b, b2c, b2b2c, cpg, SAP, Salesforce, Magento, Drupal, Project Management, Software implementations , Digital Transformation , PIM/DAM, CRM, CDP, ERP, design, OMS, Adobe",Public Company,United States,New York,EST
school-board-of-broward-county,9000,31000,Education Administration Programs,,Educational,United States,Fort Lauderdale,EST
Macmillan Learning,179,911,Education Management,"learning, teaching, learning science, analytics, authorship, active learning, higher education, education, college, textbooks, digital learning, remote learning, STEM, Economics, Composition, History, Communications, Math, Chemistry, Physics, Science, edtech, Student Engagement, HigherEd",Privately Held,United States,New York City,EST
Navitaire,119,750,Computer Software,Airline & Transportation Reservations Systems,Privately Held,United States,Minneapolis,EST
NEC Corporation of America,1200,3300,Information Technology & Services,,Public Company,United States,Irving,EST
HMT LLC,150,1742,Oil & Energy,"Internal Floating Roofs, Geodesic Domes, Primary & Secondary Floating Roof Seals, Emissions Reduction Devices, Lightning Protection Systems, Roof Drain & Floating Suction/Skimmer Systems, API Separator Covers, Water & Wastewater Cover Systems",Privately Held,United States,The Woodlands,EST
Carver Companies,29.4,256,Logistics & Supply Chain,"Tugboats, Barge, Stevedoring, Maritime, Breakbulk, Equipment Rental, Trucking, Gravel, Sand, Quarry, Property Maintenance, Sweeping, Construction, Warehousing, Real Estate , Laydown, Assembly Projects, Port, Dredging, Transportation ",Privately Held,United States,Coeymans,EST
Viega LLC,200,750,Building Materials,"press technology, plumbing, heating and cooling, pipe fittings, flushing technology, commercial hydronics, ship building applications, press fittings, polymer fittings",Privately Held,United States,Broomfield,EST
Baladna Food Industries,204.4,1600,Food Production,,Sole Proprietorship,Qatar,Doha,AST
NAKILAT,310.6,875,Logistics & Supply Chain,"Shipping, LNG Ship Owner, LPG Ship Owner, Shipyard Owner, N-KOM, NDSQ, NSW, NAC, NSQL",Public Company,Qatar,Doha,AST
WorkForce Software,100.9,760,Computer Software,"workforce management software, workforce management, time and attendance, time and attendance software, employee scheduling, leave and absence management, fatigue management, labor law compliance, forecasting and scheduling, employee experience, employee communications",Privately Held,United States,Livonia,EST
"SPX Cooling Tech, LLC",1740,4100,Mechanical Or Industrial Engineering,"cooling towers, fluid coolers, hvac, evaporative cooling, cooling tower parts, industrial evaporators, plume abatement, water management, cooling tower controls, refrigeration, air cooled heat exchangers",Public Company,United States,Overland Park,EST
Maui Jim Sunglasses,303.2,954,Luxury Goods & Jewelry,"Luxury Sunglasses, Eyewear, Eyeglasses, Prescription Eyewear, PolarizedPlus2 Lens Technology",Public Company,United States,Peoria,EST
Composites One,299.8,702,Transportation/Trucking/Railroad,"Closed-Molding, Reinforcements, Resins, Processing Supplies, Gel Coats, Catalysts, Core Materials, Composites",Privately Held,United States,Schaumburg,EST
Emdad Al Khebrat,100,300,Human Resources,,Partnership,Saudi Arabia,Riyadh,AST
LIVEKINDLY Collective,200,500,Food & Beverages,,Privately Held,United States,New York City,EST
Al Watania For Industries,3.2,46,Packaging & Containers,"Packaging, Building Materials, Can Manufacturing, Plastic Manufacturing, Corrugated Carton Manufacturing, Caps Manufacturing, Paper Industry, Metal Industry, Closure Systems, chemicals , energy ",Privately Held,Saudi Arabia,Riyadh,AST
SAL Saudi Logistics Services,27.8,740,Transportation/Trucking/Railroad,,Privately Held,Saudi Arabia,Jeddah,AST
Paramount International,300,1000,Entertainment Providers,"Streaming Services, Studios, Network, Media Entertainment, Telecommunications, Mass Media, Technology, Movies, Television, Pictures, TV Show, Consumer Products, Interactive Media, Publishing, Live Entertainment, Animation, Home Media, Distribution, Records and Music",Privately Held,United States,New York,EST
Celeros Flow Technology,130.8,934,Mechanical Or Industrial Engineering,,Privately Held,United States,Charlotte,EST
Denodo,170.9,824,Computer Software,"enterprise data services, enterprise data integration, data virtualization, web integration, web automation, unstructured data, virtual database, real-time data, cloud integration, big data integration, Data Warehouse, Agile BI, Logical Data Warehouse, data governance, self-service BI, data analytics, machine learning, artificial intelligence, Data Integration, Data Fabric, Data Governance, data mesh, data management",Privately Held,United States,Palo Alto,EST
Vested Business Brokers,20.6,102,Information Services,"Help Match Buyers and Sellers, FREE Training and Continuing Education To Our Brokers, Help With FREE Business Valuations, Help With FREE Educational Materials For Buyers & Sellers, Provide Instant Alerts For Buyers Of New Listings In Their Markets of Choice",Privately Held,United States,Northport,EST
Degreed,104.4,587,Computer Software,"Education, Credentials, Social Recruiting, EdTech, Education Technology",Privately Held,United States,Pleasanton,EST
Samsung Ads,329,940,Marketing & Advertising,"Smart TV, Advertising, Connected TV, Marketing Technology, Data Analytics, Advanced TV",Privately Held,United States,New York,EST
Rangam,248.3,390,Staffing & Recruiting,"Staff augmentation services for IT & Non-IT categories, Specializes in servicing large Pharmaceutical & Health Care clients as well as Telecommunication & Energy sectors, Mobile application development, Disability inclusion, Autism at Work, Neurodiversity, DEI, HR Tech, Marketplace, Tech Platform, Workforce Solution, Diversity Inclusion, Staffing, Holistic Workforce",Privately Held,United States,Somerset,EST
FGX International,306.4,872,Consumer Goods,,Public Company,United States,Smithfield,EST
Castle Metals,343.7,1002,Mining & Metals,"Supply chain, alloy, carbon, stainless, aluminum, nickel, distribution, saw, flame, laser, waterjet cutting, machining, trepanning, boring, heat treating, surface finishing, testing, heavy industrial, aerospace, oil & gas, defense, metals service center, processing",Public Company,United States,Oak Brook,EST
AMSEC LLC,150,500,Defense and Space Manufacturing,"Marine Engineering, Maintenance Engineering, Ship Systems Assessments, Acquisition Program Development, Shipyard Industrial Engineering, Information Technology Solutions, Logistics Services, Commercial Facilities Security, Electronics, Electrical Engineering",Privately Held,United States,Virginia Beach,EST
Faraday Future,500,1000,Automotive,,Privately Held,United States,Gardena,EST
